title,nps_link,date_created,area,lat,long,activity_link,activity_str
Acadia,https://www.nps.gov/acad/index.htm,2/26/19,49076.63 acres (198.6 km2),44.35,-68.21,"['https://www.nps.gov/acad/planyourvisit/basicinfo.htm', 'https://www.nps.gov/acad/planyourvisit/maps.htm', 'https://www.nps.gov/acad/planyourvisit/calendar.htm', 'https://www.nps.gov/acad/planyourvisit/permits.htm', 'https://www.nps.gov/acad/planyourvisit/conditions.htm', 'https://www.nps.gov/acad/planyourvisit/guidedtours.htm', 'https://www.nps.gov/acad/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/acad/planyourvisit/ranger_programs_descriptions.htm', 'https://www.nps.gov/acad/planyourvisit/justforkids.htm', 'https://www.nps.gov/acad/planyourvisit/accessibility.htm', 'https://www.nps.gov/acad/planyourvisit/schoodic.htm', 'https://www.nps.gov/acad/planyourvisit/isle-au-haut.htm', 'https://www.nps.gov/acad/planyourvisit/duckharbor.htm', 'https://www.nps.gov/acad/planyourvisit/fishing.htm', 'https://www.nps.gov/acad/planyourvisit/hiking.htm', 'https://www.nps.gov/acad/planyourvisit/private-campgrounds.htm', 'https://www.nps.gov/acad/planyourvisit/weddings.htm', 'https://www.nps.gov/acad/planyourvisit/winteractivities.htm', 'https://www.nps.gov/acad/planyourvisit/oversized-vehicles.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'guidedtours', 'outdooractivities', 'ranger_programs_descriptions', 'justforkids', 'accessibility', 'schoodic', 'isle-au-haut', 'duckharbor', 'fishing', 'hiking', 'private-campgrounds', 'weddings', 'winteractivities', 'oversized-vehicles']"
American Samoa,https://www.nps.gov/npsa/index.htm,10/31/88,8256.67 acres (33.4 km2),-14.25,-170.68,"['https://www.nps.gov/npsa/planyourvisit/basicinfo.htm', 'https://www.nps.gov/npsa/planyourvisit/maps.htm', 'https://www.nps.gov/npsa/planyourvisit/calendar.htm', 'https://www.nps.gov/npsa/planyourvisit/permits.htm', 'https://www.nps.gov/npsa/planyourvisit/conditions.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions']"
Arches,https://www.nps.gov/arch/index.htm,11/12/71,76678.98 acres (310.3 km2),38.68,-109.57,"['https://www.nps.gov/arch/planyourvisit/basicinfo.htm', 'https://www.nps.gov/arch/planyourvisit/maps.htm', 'https://www.nps.gov/arch/planyourvisit/calendar.htm', 'https://www.nps.gov/arch/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/arch/planyourvisit/conditions.htm', 'https://www.nps.gov/arch/planyourvisit/driving.htm', 'https://www.nps.gov/arch/planyourvisit/backpacking.htm', 'https://www.nps.gov/arch/planyourvisit/biking.htm', 'https://www.nps.gov/arch/planyourvisit/camping.htm', 'https://www.nps.gov/arch/planyourvisit/canyoneer.htm', 'https://www.nps.gov/arch/planyourvisit/commercialtours.htm', 'https://www.nps.gov/arch/planyourvisit/hiking.htm', 'https://www.nps.gov/arch/planyourvisit/horsebackriding.htm', 'https://www.nps.gov/arch/planyourvisit/photography.htm', 'https://www.nps.gov/arch/planyourvisit/programs.htm', 'https://www.nps.gov/arch/planyourvisit/rockclimbing.htm', 'https://www.nps.gov/arch/planyourvisit/stargazing.htm', 'https://www.nps.gov/arch/planyourvisit/audio-brochure.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'driving', 'backpacking', 'biking', 'camping', 'canyoneer', 'commercialtours', 'hiking', 'horsebackriding', 'photography', 'programs', 'rockclimbing', 'stargazing', 'audio-brochure']"
Badlands,https://www.nps.gov/badl/index.htm,11/10/78,242755.94 acres (982.4 km2),43.75,-102.5,"['https://www.nps.gov/badl/planyourvisit/basicinfo.htm', 'https://www.nps.gov/badl/planyourvisit/maps.htm', 'https://www.nps.gov/badl/planyourvisit/calendar.htm', 'https://www.nps.gov/badl/planyourvisit/permits.htm', 'https://www.nps.gov/badl/planyourvisit/conditions.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions']"
Big Bend,https://www.nps.gov/bibe/index.htm,6/12/44,801163.21 acres (3242.2 km2),29.25,-103.25,"['https://www.nps.gov/bibe/planyourvisit/basicinfo.htm', 'https://www.nps.gov/bibe/planyourvisit/maps.htm', 'https://www.nps.gov/bibe/planyourvisit/calendar.htm', 'https://www.nps.gov/bibe/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/bibe/planyourvisit/conditions.htm', 'https://www.nps.gov/bibe/planyourvisit/day_hikes.htm', 'https://www.nps.gov/bibe/planyourvisit/scenic_drives.htm', 'https://www.nps.gov/bibe/planyourvisit/soakinthesprings.htm', 'https://www.nps.gov/bibe/planyourvisit/stargazing.htm', 'https://www.nps.gov/bibe/planyourvisit/river-trips.htm', 'https://www.nps.gov/bibe/planyourvisit/suggested-itineraries.htm', 'https://www.nps.gov/bibe/planyourvisit/ranger-led-programs.htm', 'https://www.nps.gov/bibe/planyourvisit/backcountry-main.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'day_hikes', 'scenic_drives', 'soakinthesprings', 'stargazing', 'river-trips', 'suggested-itineraries', 'ranger-led-programs', 'backcountry-main']"
Biscayne,https://www.nps.gov/bisc/index.htm,6/28/80,172971.11 acres (700.0 km2),25.65,-80.08,"['https://www.nps.gov/bisc/planyourvisit/basicinfo.htm', 'https://www.nps.gov/bisc/planyourvisit/maps.htm', 'https://www.nps.gov/bisc/planyourvisit/calendar.htm', 'https://www.nps.gov/bisc/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/bisc/planyourvisit/conditions.htm', 'https://www.nps.gov/bisc/planyourvisit/guidedtours.htm', 'https://www.nps.gov/bisc/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/bisc/planyourvisit/indooractivities.htm', 'https://www.nps.gov/bisc/planyourvisit/justforkids.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'guidedtours', 'outdooractivities', 'indooractivities', 'justforkids']"
Black Canyon of the Gunnison,https://www.nps.gov/blca/index.htm,10/21/99,30779.83 acres (124.6 km2),38.57,-107.72,"['https://www.nps.gov/blca/planyourvisit/basicinfo.htm', 'https://www.nps.gov/blca/planyourvisit/maps.htm', 'https://www.nps.gov/blca/planyourvisit/calendar.htm', 'https://www.nps.gov/blca/planyourvisit/permits.htm', 'https://www.nps.gov/blca/planyourvisit/conditions.htm', 'https://www.nps.gov/blca/planyourvisit/hikingtrails.htm', 'https://www.nps.gov/blca/planyourvisit/innercanyon.htm', 'https://www.nps.gov/blca/planyourvisit/drives.htm', 'https://www.nps.gov/blca/planyourvisit/fishing.htm', 'https://www.nps.gov/blca/planyourvisit/wildlifewatching.htm', 'https://www.nps.gov/blca/planyourvisit/astronomy.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'hikingtrails', 'innercanyon', 'drives', 'fishing', 'wildlifewatching', 'astronomy']"
Bryce Canyon,https://www.nps.gov/brca/index.htm,2/25/28,35835.08 acres (145.0 km2),37.57,-112.18,"['https://www.nps.gov/brca/planyourvisit/basicinfo.htm', 'https://www.nps.gov/brca/planyourvisit/maps.htm', 'https://www.nps.gov/brca/planyourvisit/calendar.htm', 'https://www.nps.gov/brca/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/brca/planyourvisit/conditions.htm', 'https://www.nps.gov/brca/planyourvisit/sunrise.htm', 'https://www.nps.gov/brca/planyourvisit/sunset.htm', 'https://www.nps.gov/brca/planyourvisit/inspiration.htm', 'https://www.nps.gov/brca/planyourvisit/brycepoint.htm', 'https://www.nps.gov/brca/planyourvisit/easy-hikes.htm', 'https://www.nps.gov/brca/planyourvisit/rimtrail.htm', 'https://www.nps.gov/brca/planyourvisit/hours.htm', 'https://www.nps.gov/brca/planyourvisit/ranger-programs.htm', 'https://www.nps.gov/brca/planyourvisit/moderatehikes.htm', 'https://www.nps.gov/brca/planyourvisit/strenuoushikes.htm', 'https://www.nps.gov/brca/planyourvisit/rainbowyovimpa.htm', 'https://www.nps.gov/brca/planyourvisit/horse.htm', 'https://www.nps.gov/brca/planyourvisit/backcountryinfo.htm', 'https://www.nps.gov/brca/planyourvisit/winter.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'sunrise', 'sunset', 'inspiration', 'brycepoint', 'easy-hikes', 'rimtrail', 'hours', 'ranger-programs', 'moderatehikes', 'strenuoushikes', 'rainbowyovimpa', 'horse', 'backcountryinfo', 'winter']"
Canyonlands,https://www.nps.gov/cany/index.htm,9/12/64,337597.83 acres (1366.2 km2),38.2,-109.93,"['https://www.nps.gov/cany/planyourvisit/basicinfo.htm', 'https://www.nps.gov/cany/planyourvisit/maps.htm', 'https://www.nps.gov/cany/planyourvisit/calendar.htm', 'https://www.nps.gov/cany/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/cany/planyourvisit/conditions.htm', 'https://www.nps.gov/cany/planyourvisit/driving.htm', 'https://www.nps.gov/cany/planyourvisit/backpacking.htm', 'https://www.nps.gov/cany/planyourvisit/biking.htm', 'https://www.nps.gov/cany/planyourvisit/boating.htm', 'https://www.nps.gov/cany/planyourvisit/camping.htm', 'https://www.nps.gov/cany/planyourvisit/climbing.htm', 'https://www.nps.gov/cany/planyourvisit/guidedtrips.htm', 'https://www.nps.gov/cany/planyourvisit/hiking.htm', 'https://www.nps.gov/cany/planyourvisit/horsebackriding.htm', 'https://www.nps.gov/cany/planyourvisit/programs.htm', 'https://www.nps.gov/cany/planyourvisit/stargazing.htm', 'https://www.nps.gov/cany/planyourvisit/placestogo.htm', 'https://www.nps.gov/cany/planyourvisit/publications.htm', 'https://www.nps.gov/cany/planyourvisit/bears.htm', 'https://www.nps.gov/cany/planyourvisit/stockuse.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'driving', 'backpacking', 'biking', 'boating', 'camping', 'climbing', 'guidedtrips', 'hiking', 'horsebackriding', 'programs', 'stargazing', 'placestogo', 'publications', 'bears', 'stockuse']"
Capitol Reef,https://www.nps.gov/care/index.htm,12/18/71,241904.50 acres (979.0 km2),38.2,-111.17,"['https://www.nps.gov/care/planyourvisit/basicinfo.htm', 'https://www.nps.gov/care/planyourvisit/maps.htm', 'https://www.nps.gov/care/planyourvisit/calendar.htm', 'https://www.nps.gov/care/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/care/planyourvisit/conditions.htm', 'https://www.nps.gov/care/planyourvisit/roads.htm', 'https://www.nps.gov/care/planyourvisit/campinga.htm', 'https://www.nps.gov/care/planyourvisit/hiking.htm', 'https://www.nps.gov/care/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/care/planyourvisit/ranger-programs.htm', 'https://www.nps.gov/care/planyourvisit/justforkids.htm', 'https://www.nps.gov/care/planyourvisit/pets.htm', 'https://www.nps.gov/care/planyourvisit/fruita.htm', 'https://www.nps.gov/care/planyourvisit/waterpocketdistrict.htm', 'https://www.nps.gov/care/planyourvisit/cathedralvalley.htm', 'https://www.nps.gov/care/planyourvisit/brochures.htm', 'https://www.nps.gov/care/planyourvisit/leave-no-trace.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'roads', 'campinga', 'hiking', 'outdooractivities', 'ranger-programs', 'justforkids', 'pets', 'fruita', 'waterpocketdistrict', 'cathedralvalley', 'brochures', 'leave-no-trace']"
