title,url,length,coordinates
Raven Cliff Falls Trail,https://www.atlantatrails.com/hiking-trails/hiking-to-raven-cliff-falls/,4.9 miles,"[34.709969, -83.788837]"
Panther Creek Falls,https://www.atlantatrails.com/hiking-trails/panther-creek-falls/,6.9 miles,"[34.69895, -83.419967]"
Bear Creek Trail,https://www.atlantatrails.com/hiking-trails/bear-creek-trail/,5.5 miles,"[34.818833, -84.564233]"
Dukes Creek Falls Trail,https://www.atlantatrails.com/hiking-trails/dukes-creek-falls-trail/,2 miles,"[34.702063, -83.789413]"
Hemlock Falls Trail At Moccasin Creek State Park,https://www.atlantatrails.com/hiking-trails/hemlock-falls-trail-lake-burton/,2 miles,"[34.847733, -83.5967]"
Yonah Mountain Trail,https://www.atlantatrails.com/hiking-trails/yonah-mountain-hiking-trail/,4.4 miles,"[34.637383, -83.725117]"
Vickery Creek Trail At Roswell Mill,https://www.atlantatrails.com/hiking-trails/roswell-mill-vickery-creek-trail/,4.7 miles,"[34.0076, -84.350983]"
Sweetwater Creek White Trail,https://www.atlantatrails.com/hiking-trails/sweetwater-creek-hiking-white-trail-loop/,4.1 miles,"[33.7526, -84.62835]"
Trahlyta Lake Trail,https://www.atlantatrails.com/hiking-trails/trahlyta-lake-trail/,1.1 miles,"[34.766117, -83.923267]"
Unicoi Lake Trail,https://www.atlantatrails.com/hiking-trails/unicoi-lake-trail/,2 miles,"[34.727783, -83.720533]"
Providence Canyon State Park,https://www.atlantatrails.com/hiking-trails/providence-canyon-georgia-little-grand-canyon/,4.85 miles,"[32.068991, -84.913373]"
Fort Mountain State Park Summit Trail,https://www.atlantatrails.com/hiking-trails/fort-mountain-state-park-summit-trail/,1.5 miles,"[34.778483, -84.709017]"
Sawnee Mountain Indian Seats Trail,https://www.atlantatrails.com/hiking-trails/hiking-the-indian-seats-trail-at-sawnee-mountain-preserve-near-atlanta/,4 miles,"[34.25475, -84.138933]"
Tallulah Gorge State Park Hurricane Falls Trail,https://www.atlantatrails.com/hiking-trails/tallulah-gorge-hurricane-falls-trail/,2.25 miles,"[34.740217, -83.3905]"
Skidaway Island State Park,https://www.atlantatrails.com/hiking-trails/hiking-skidaway-island-sandpiper-avian-loop-trail/,2 miles,"[31.949467, -81.053333]"
West Rim Loop Trail At Cloudland Canyon State Park,https://www.atlantatrails.com/hiking-trails/cloudland-canyon-hiking-west-rim-loop-trail/,4.9 miles,"[34.834667, -85.480517]"
Cloudland Canyon Waterfalls Trail,https://www.atlantatrails.com/hiking-trails/cloudland-canyon-hiking-waterfalls-trail/,2.1 miles,"[34.834667, -85.480517]"
